B4TOD4,B5TOB4,R45TOB4,OMEGA5,GAMMAU,ALPHA4,RE,PT_LOSS
0.0,0.0,0.3902439024390244,0.5,1.0,0.0,0.0,0.1865913547592122
1.0000000000000002,0.0,1.0000000000000002,0.5,0.5,0.0,0.0,0.3344488315745791
0.1578947368421052,0.0,1.0000000000000002,0.5,0.5,0.6000000000000001,1.0,0.0859019532299976
0.1578947368421052,1.0,1.0000000000000002,0.5,0.5,0.8,1.0,0.0610215956947034
0.1578947368421052,0.0,1.0000000000000002,0.0,0.0,0.3999999999999999,0.0,0.1315805441251408
1.0000000000000002,0.5,1.0000000000000002,0.5,0.5,0.6000000000000001,0.0,0.1993620309251228
0.0,0.0,1.0000000000000002,0.5,1.0,0.3999999999999999,1.0,0.1233797164505593
0.0,1.0,0.0,0.5,1.0,0.2,0.0,0.0705643069804869
0.1578947368421052,0.5,1.0000000000000002,1.0,0.5,0.0,0.0,0.2693209500985187
0.1578947368421052,0.0,0.0,0.5,0.0,0.2,0.0,0.0618558609718734
0.1578947368421052,0.0,0.3902439024390244,0.5,0.5,1.0,0.0,0.0606365501821634
0.0,0.5,0.3902439024390244,0.5,0.5,1.0,1.0,0.0424944891163195
1.0000000000000002,0.0,1.0000000000000002,0.0,0.5,1.0,1.0,0.078382014370091
0.0,0.5,1.0000000000000002,0.5,1.0,0.3999999999999999,0.0,0.1414126812878502
0.1578947368421052,1.0,1.0000000000000002,0.5,1.0,0.3999999999999999,0.0,0.1335192482807798
0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0805754903065273
0.0,0.0,1.0000000000000002,1.0,0.5,1.0,1.0,0.0757483030643173
1.0000000000000002,0.0,1.0000000000000002,1.0,1.0,0.0,0.0,0.5485225851814528
0.0,0.5,1.0000000000000002,0.5,1.0,0.2,0.0,0.181649937348282
0.1578947368421052,0.5,0.0,0.0,1.0,0.0,1.0,0.0837585332101915
1.0000000000000002,0.0,0.0,0.0,0.5,1.0,0.0,0.0791822672936534
0.1578947368421052,0.5,1.0000000000000002,0.5,0.0,0.0,1.0,0.2275345275926341
0.1578947368421052,1.0,1.0000000000000002,0.5,0.0,1.0,1.0,0.0785219142396472
1.0000000000000002,1.0,0.0,0.5,0.0,0.6000000000000001,0.0,0.1328133315077897
1.0000000000000002,0.5,0.0,0.5,1.0,0.2,0.0,0.1831901193984421
0.1578947368421052,0.5,1.0000000000000002,0.0,0.5,1.0,0.0,0.0745328427297326
0.1578947368421052,1.0,1.0000000000000002,0.5,0.5,0.3999999999999999,0.0,0.116962291241559
1.0000000000000002,1.0,0.3902439024390244,0.5,0.0,0.0,0.0,0.2827243843900368
0.1578947368421052,1.0,0.0,0.5,0.5,0.3999999999999999,1.0,0.0556245410939342
0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0755878674340923
0.0,0.5,1.0000000000000002,1.0,1.0,0.3999999999999999,0.0,0.1426230076822676
0.1578947368421052,0.5,0.3902439024390244,0.5,0.5,1.0,0.0,0.0535132082001731
0.0,0.5,0.3902439024390244,0.5,0.0,0.0,0.0,0.1779920049791518
1.0000000000000002,0.0,1.0000000000000002,1.0,1.0,0.3999999999999999,0.0,0.1996732760477594
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0383119964106057
0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0492916333749364
0.0,0.5,0.0,0.5,1.0,0.6000000000000001,0.0,0.0850035137007375
0.1578947368421052,0.5,1.0000000000000002,1.0,0.5,1.0,1.0,0.0586541433608511
0.0,0.0,1.0000000000000002,0.5,0.0,1.0,0.0,0.095143045530958
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0757547204895263
0.1578947368421052,0.5,1.0000000000000002,0.0,0.5,0.3999999999999999,0.0,0.1215770617093511
1.0000000000000002,0.5,1.0000000000000002,0.5,0.0,1.0,1.0,0.2738683376016163
0.0,0.0,1.0000000000000002,0.5,0.0,1.0,1.0,0.0756340728955971
0.1578947368421052,0.0,1.0000000000000002,0.5,1.0,0.2,1.0,0.1430812118421902
0.0,0.0,1.0000000000000002,0.5,0.5,0.8,1.0,0.0812172328274273
0.1578947368421052,0.5,0.0,0.5,0.5,0.0,1.0,0.0873137867759776
0.1578947368421052,0.5,1.0000000000000002,0.0,0.0,0.0,1.0,0.2345981875201808
1.0000000000000002,0.0,1.0000000000000002,1.0,0.5,1.0,1.0,0.0784288615741167
0.0,1.0,0.3902439024390244,0.5,1.0,1.0,1.0,0.0907150221367478
1.0000000000000002,1.0,0.0,0.5,0.5,0.3999999999999999,1.0,0.1546967514704808
0.1578947368421052,0.0,0.3902439024390244,0.5,0.0,0.2,0.0,0.1073361534280586
1.0000000000000002,1.0,0.3902439024390244,0.5,0.0,0.6000000000000001,0.0,0.2046243195965031
0.1578947368421052,1.0,0.3902439024390244,0.5,0.0,0.3999999999999999,1.0,0.0569208609861522
0.1578947368421052,0.0,1.0000000000000002,0.0,0.0,0.0,1.0,0.2330445288770818
0.0,0.5,1.0000000000000002,1.0,0.0,1.0,0.0,0.0850150650661137
0.1578947368421052,1.0,0.0,0.5,1.0,1.0,0.0,0.1235722392068293
1.0000000000000002,0.0,0.0,0.0,0.5,1.0,1.0,0.0675736584845885
0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0437009650556116
1.0000000000000002,0.0,0.0,0.5,1.0,0.2,0.0,0.1856287409778622
0.0,0.5,0.3902439024390244,0.5,0.0,0.8,0.0,0.0498039364293709
0.0,0.0,0.3902439024390244,0.5,0.0,0.8,0.0,0.0563753798433872
0.0,0.5,1.0000000000000002,0.0,1.0,0.0,0.0,0.2899491216903293
0.1578947368421052,0.5,1.0000000000000002,0.5,0.5,0.2,1.0,0.1321074147347997
0.0,1.0,1.0000000000000002,0.5,0.0,0.0,1.0,0.2304865431887743
0.0,0.5,1.0000000000000002,1.0,0.0,0.3999999999999999,1.0,0.1050894128623876
