B4TOD4,B5TOB4,R45TOB4,OMEGA5,GAMMAU,ALPHA4,RE,PT_LOSS
0.01,1.25,2.5,5,-0.5,50,50000,0.0811911
0.01,1.25,2.5,5,-0.5,60,50000,0.0739092
0.01,1.25,2.5,5,0.5,10,50000,0.306124
0.01,1.25,2.5,5,0.5,20,50000,0.182195
0.01,1.25,2.5,5,0.5,30,50000,0.145931
0.01,1.25,2.5,5,0.5,40,50000,0.134559
0.01,1.25,2.5,5,0.5,50,50000,0.13293
0.01,1.25,2.5,5,0.5,60,50000,0.13467
0.01,1.25,2.5,5,0.0,10,50000,0.303324
0.01,1.25,2.5,5,0.0,20,50000,0.168855
0.01,1.25,2.5,5,0.0,30,50000,0.119975
0.01,1.25,2.5,5,0.0,40,50000,0.0952725
0.01,1.25,2.5,5,0.0,50,50000,0.0811844
0.01,1.25,2.5,5,0.0,60,50000,0.072752
0.01,1.25,5.0,-5,-0.5,10,50000,0.465167
0.01,1.25,5.0,-5,-0.5,20,50000,0.289302
0.01,1.25,5.0,-5,-0.5,30,50000,0.211425
0.01,1.25,5.0,-5,-0.5,40,50000,0.172181
0.01,1.25,5.0,-5,-0.5,50,50000,0.151509
0.01,1.25,5.0,-5,-0.5,60,50000,0.140235
0.01,1.25,5.0,-5,0.5,10,50000,0.467274
0.01,1.25,5.0,-5,0.5,20,50000,0.296437
0.01,1.25,5.0,-5,0.5,30,50000,0.227694
0.01,1.25,5.0,-5,0.5,40,50000,0.199455
0.01,1.25,5.0,-5,0.5,50,50000,0.188509
0.01,1.25,5.0,-5,0.5,60,50000,0.18502
0.01,1.25,5.0,-5,0.0,10,50000,0.467162
0.01,1.25,5.0,-5,0.0,20,50000,0.290742
0.01,1.25,5.0,-5,0.0,30,50000,0.209625
0.01,1.25,5.0,-5,0.0,40,50000,0.165483
0.01,1.25,5.0,-5,0.0,50,50000,0.139249
0.01,1.25,5.0,-5,0.0,60,50000,0.122737
0.01,1.25,5.0,0,-0.5,10,50000,0.460082
0.01,1.25,5.0,0,-0.5,20,50000,0.286451
0.01,1.25,5.0,0,-0.5,30,50000,0.210971
0.01,1.25,5.0,0,-0.5,40,50000,0.172281
0.01,1.25,5.0,0,-0.5,50,50000,0.151179
0.01,1.25,5.0,0,-0.5,60,50000,0.139486
0.01,1.25,5.0,0,0.5,10,50000,0.461966
0.01,1.25,5.0,0,0.5,20,50000,0.294223
0.01,1.25,5.0,0,0.5,30,50000,0.227613
0.01,1.25,5.0,0,0.5,40,50000,0.198917
0.01,1.25,5.0,0,0.5,50,50000,0.187487
0.01,1.25,5.0,0,0.5,60,50000,0.184001
0.01,1.25,5.0,0,0.0,10,50000,0.462042
0.01,1.25,5.0,0,0.0,20,50000,0.288119
0.01,1.25,5.0,0,0.0,30,50000,0.209139
0.01,1.25,5.0,0,0.0,40,50000,0.165338
0.01,1.25,5.0,0,0.0,50,50000,0.138669
0.01,1.25,5.0,0,0.0,60,50000,0.121819
0.01,1.25,5.0,5,-0.5,10,50000,0.465295
0.01,1.25,5.0,5,-0.5,20,50000,0.289469
0.01,1.25,5.0,5,-0.5,30,50000,0.211746
0.01,1.25,5.0,5,-0.5,40,50000,0.17267
0.01,1.25,5.0,5,-0.5,50,50000,0.152075
0.01,1.25,5.0,5,-0.5,60,50000,0.14088
0.01,1.25,5.0,5,0.5,10,50000,0.467304
0.01,1.25,5.0,5,0.5,20,50000,0.296451
0.01,1.25,5.0,5,0.5,30,50000,0.227595
0.01,1.25,5.0,5,0.5,40,50000,0.199264
0.01,1.25,5.0,5,0.5,50,50000,0.18824
0.01,1.25,5.0,5,0.5,60,50000,0.184687
0.01,1.25,5.0,5,0.0,10,50000,0.467176
0.01,1.25,5.0,5,0.0,20,50000,0.29075
0.01,1.25,5.0,5,0.0,30,50000,0.209716
0.01,1.25,5.0,5,0.0,40,50000,0.165597
0.01,1.25,5.0,5,0.0,50,50000,0.139349
0.01,1.25,5.0,5,0.0,60,50000,0.122861
0.01,1.5,0.9,-5,-0.5,10,50000,0.118755
0.01,1.5,0.9,-5,-0.5,20,50000,0.0674917
0.01,1.5,0.9,-5,-0.5,30,50000,0.0520362
0.01,1.5,0.9,-5,-0.5,40,50000,0.045912
0.01,1.5,0.9,-5,-0.5,50,50000,0.0437875
0.01,1.5,0.9,-5,-0.5,60,50000,0.0433319
0.01,1.5,0.9,-5,0.5,10,50000,0.137772
0.01,1.5,0.9,-5,0.5,20,50000,0.0998312
0.01,1.5,0.9,-5,0.5,30,50000,0.102389
0.01,1.5,0.9,-5,0.5,40,50000,0.108043
0.01,1.5,0.9,-5,0.5,50,50000,0.0776827
0.01,1.5,0.9,-5,0.5,60,50000,0.170264
0.01,1.5,0.9,-5,0.0,10,50000,0.125908
0.01,1.5,0.9,-5,0.0,20,50000,0.0778799
0.01,1.5,0.9,-5,0.0,30,50000,0.0668107
0.01,1.5,0.9,-5,0.0,40,50000,0.0634795
0.01,1.5,0.9,-5,0.0,50,50000,-0.0495897
0.01,1.5,0.9,-5,0.0,60,50000,0.0732595
0.01,1.5,0.9,0,-0.5,10,50000,0.118725
0.01,1.5,0.9,0,-0.5,20,50000,0.0674916
0.01,1.5,0.9,0,-0.5,30,50000,0.0518576
0.01,1.5,0.9,0,-0.5,40,50000,0.0458298
0.01,1.5,0.9,0,-0.5,50,50000,0.0437047
0.01,1.5,0.9,0,-0.5,60,50000,0.0432407
0.01,1.5,0.9,0,0.5,10,50000,0.137459
0.01,1.5,0.9,0,0.5,20,50000,0.0996567
0.01,1.5,0.9,0,0.5,30,50000,0.100139
0.01,1.5,0.9,0,0.5,40,50000,0.129001
0.01,1.5,0.9,0,0.5,50,50000,0.137534
0.01,1.5,0.9,0,0.5,60,50000,0.0726014
0.01,1.5,0.9,0,0.0,10,50000,0.125503
0.01,1.5,0.9,0,0.0,20,50000,0.0777928
0.01,1.5,0.9,0,0.0,30,50000,0.0666845
0.01,1.5,0.9,0,0.0,40,50000,0.0662059
0.01,1.5,0.9,0,0.0,50,50000,0.025326
0.01,1.5,0.9,0,0.0,60,50000,0.0724463
0.01,1.5,0.9,5,-0.5,10,50000,0.119417
0.01,1.5,0.9,5,-0.5,20,50000,0.0683024
0.01,1.5,0.9,5,-0.5,30,50000,0.0529244
0.01,1.5,0.9,5,-0.5,40,50000,0.0468885
0.01,1.5,0.9,5,-0.5,50,50000,0.0448637
0.01,1.5,0.9,5,-0.5,60,50000,0.0444877
0.01,1.5,0.9,5,0.5,10,50000,0.138664
0.01,1.5,0.9,5,0.5,20,50000,0.100707
0.01,1.5,0.9,5,0.5,30,50000,0.10173
0.01,1.5,0.9,5,0.5,40,50000,0.0978954
0.01,1.5,0.9,5,0.5,50,50000,0.0684861
0.01,1.5,0.9,5,0.5,60,50000,0.230467
0.01,1.5,0.9,5,0.0,10,50000,0.126684
