B4TOD4,B5TOB4,R45TOB4,OMEGA5,GAMMAU,ALPHA4,RE,PT_LOSS
0.01,1.25,0.9,5,0.5,50,500000,0.0917465
0.01,1.25,0.9,5,0.5,60,100000,0.0460826
0.01,1.25,0.9,5,0.5,60,500000,0.155108
0.01,1.25,0.9,5,0.0,10,100000,0.114548
0.01,1.25,0.9,5,0.0,10,500000,0.0899008
0.01,1.25,0.9,5,0.0,20,100000,0.0707048
0.01,1.25,0.9,5,0.0,20,500000,0.0561949
0.01,1.25,0.9,5,0.0,30,100000,0.0602579
0.01,1.25,0.9,5,0.0,30,500000,0.0489084
0.01,1.25,0.9,5,0.0,40,100000,0.0592727
0.01,1.25,0.9,5,0.0,40,500000,0.0486834
0.01,1.25,0.9,5,0.0,50,100000,0.0620009
0.01,1.25,0.9,5,0.0,50,500000,0.0511507
0.01,1.25,0.9,5,0.0,60,100000,0.0658622
0.01,1.25,0.9,5,0.0,60,500000,0.0543904
0.01,1.25,2.5,-5,-0.5,10,100000,0.265389
0.01,1.25,2.5,-5,-0.5,10,500000,0.207818
0.01,1.25,2.5,-5,-0.5,20,100000,0.149927
0.01,1.25,2.5,-5,-0.5,20,500000,0.1161
0.01,1.25,2.5,-5,-0.5,30,100000,0.105024
0.01,1.25,2.5,-5,-0.5,30,500000,0.0818116
0.01,1.25,2.5,-5,-0.5,40,100000,0.0837241
0.01,1.25,2.5,-5,-0.5,40,500000,0.0654014
0.01,1.25,2.5,-5,-0.5,50,100000,0.0721977
0.01,1.25,2.5,-5,-0.5,50,500000,0.0566721
0.01,1.25,2.5,-5,-0.5,60,100000,0.0656807
0.01,1.25,2.5,-5,-0.5,60,500000,0.0517806
0.01,1.25,2.5,-5,0.5,10,100000,0.271479
0.01,1.25,2.5,-5,0.5,10,500000,0.214481
0.01,1.25,2.5,-5,0.5,20,100000,0.16608
0.01,1.25,2.5,-5,0.5,20,500000,0.133007
0.01,1.25,2.5,-5,0.5,30,100000,0.134501
0.01,1.25,2.5,-5,0.5,30,500000,0.111783
0.01,1.25,2.5,-5,0.5,40,100000,0.126179
0.01,1.25,2.5,-5,0.5,40,500000,0.108968
0.01,1.25,2.5,-5,0.5,50,100000,0.126403
0.01,1.25,2.5,-5,0.5,50,500000,0.112396
