    dirname, B4TOD4, B5TOB4, R45TOB4, OMEGA5, GAMMAU, ALPHA4, RE, pt_loss
    "ubend_0.01_1.2_2.47_-13.08_0.93_15.59_258137.9_0.5",   0.01,   1.2,   2.47,   -13.08,   0.93,   15.59,   258137,   0.261866
    "ubend_0.01_1.2_2.68_-1.04_-0.47_47.35_412445.47_0.5",   0.01,   1.2,   2.68,   -1.04,   -0.47,   47.35,   412445,   0.063712
    "ubend_0.01_1.2_3.14_-5.2_0.55_18.26_388918.18_0.5",   0.01,   1.2,   3.14,   -5.2,   0.55,   18.26,   388918,   0.173685
    "ubend_0.01_1.31_2.65_-10.2_0.21_15.8_137031.53_0.5",   0.01,   1.31,   2.65,   -10.2,   0.21,   15.8,   137031,   0.080289
    "ubend_0.01_1.31_4.02_-14.08_0.55_57.01_159244.87_0.5",   0.01,   1.31,   4.02,   -14.08,   0.55,   57.01,   159244,   0.18329
    "ubend_0.01_1.32_3.77_7.02_-0.4_39.4_332632.79_0.5",   0.01,   1.32,   3.77,   7.02,   -0.4,   39.4,   332632,   0.102118
    "ubend_0.01_1.32_3.95_-8.04_-0.41_56.25_283123.05_0.5",   0.01,   1.32,   3.95,   -8.04,   -0.41,   56.25,   283123,   0.0847017
    "ubend_0.01_1.34_3.33_3.28_-0.77_55.57_220378.41_0.5",   0.01,   1.34,   3.33,   3.28,   -0.77,   55.57,   220378,   0.106692
    "ubend_0.01_1.35_1.07_-11.16_-0.29_24.43_217100.58_0.5",   0.01,   1.35,   1.07,   -11.16,   -0.29,   24.43,   217100,   0.0540944
    "ubend_0.01_1.35_2.64_6.22_-0.58_17.13_136435.58_0.5",   0.01,   1.35,   2.64,   6.22,   -0.58,   17.13,   136435,   0.162084
    "ubend_0.01_1.37_1.0_-4.46_-0.44_11.11_339899.55_0.5",   0.01,   1.37,   1,   -4.46,   -0.44,   11.11,   339899,   0.0891049
    "ubend_0.01_1.37_1.14_-7.52_0.75_50.44_218973.16_0.5",   0.01,   1.37,   1.14,   -7.52,   0.75,   50.44,   218973,   0.127091
    "ubend_0.01_1.37_4.34_-8.31_-0.03_53.61_251937.0_0.5",   0.01,   1.37,   4.34,   -8.31,   -0.03,   53.61,   251937,   0.0931814
    "ubend_0.01_1.38_0.92_0.38_0.53_57.16_105305.54_0.5",   0.01,   1.38,   0.92,   0.38,   0.53,   57.16,   105305,   0.121877
    "ubend_0.01_1.38_4.5_-0.86_0.83_11.83_398036.91_0.5",   0.01,   1.38,   4.5,   -0.86,   0.83,   11.83,   398036,   0.299453
    "ubend_0.01_1.3_3.86_7.09_0.92_12.86_462857.03_0.5",   0.01,   1.3,   3.86,   7.09,   0.92,   12.86,   462857,   0.249856
    "ubend_0.01_1.3_4.09_-4.93_-0.6_45.92_161460.76_0.5",   0.01,   1.3,   4.09,   -4.93,   -0.6,   45.92,   161460,   0.118449
    "ubend_0.01_1.41_3.36_-9.34_-0.89_46.64_461297.42_0.5",   0.01,   1.41,   3.36,   -9.34,   -0.89,   46.64,   461297,   0.116741
    "ubend_0.01_1.42_1.24_11.42_0.27_25.93_358515.31_0.5",   0.01,   1.42,   1.24,   11.42,   0.27,   25.93,   358515,   0.0610196
    "ubend_0.01_1.42_1.93_3.96_-0.59_10.09_100034.41_0.5",   0.01,   1.42,   1.93,   3.96,   -0.59,   10.09,   100034,   0.21048
    "ubend_0.01_1.44_3.97_-14.45_-0.88_45.6_411875.55_0.5",   0.01,   1.44,   3.97,   -14.45,   -0.88,   45.6,   411875,   0.338563
    "ubend_0.01_1.44_4.06_14.33_-0.29_13.32_181880.82_0.5",   0.01,   1.44,   4.06,   14.33,   -0.29,   13.32,   181880,   0.140301
    "ubend_0.01_1.46_1.43_-10.73_-0.55_34.73_275886.85_0.5",   0.01,   1.46,   1.43,   -10.73,   -0.55,   34.73,   275886,   0.272746
    "ubend_0.01_1.46_3.6_-9.5_0.81_54.69_367452.67_0.5",   0.01,   1.46,   3.6,   -9.5,   0.81,   54.69,   367452,   0.20649
    "ubend_0.01_1.47_1.53_9.32_0.44_37.04_291156.79_0.5",   0.01,   1.47,   1.53,   9.32,   0.44,   37.04,   291156,   0.0829284
    "ubend_0.01_1.47_3.28_-5.03_0.69_34.78_310205.22_0.5",   0.01,   1.47,   3.28,   -5.03,   0.69,   34.78,   310205,   0.154895
    "ubend_0.01_1.47_4.98_-5.17_-0.84_26.3_317609.31_0.5",   0.01,   1.47,   4.98,   -5.17,   -0.84,   26.3,   317609,   0.185555
    "ubend_0.01_1.48_1.32_8.95_0.82_36.91_344283.98_0.5",   0.01,   1.48,   1.32,   8.95,   0.82,   36.91,   344283,   0.121496
    "ubend_0.01_1.48_1.56_-9.4_-0.52_48.99_300199.66_0.5",   0.01,   1.48,   1.56,   -9.4,   -0.52,   48.99,   300199,   0.0588116
    "ubend_0.01_1.48_3.9_12.33_0.21_14.84_184759.58_0.5",   0.01,   1.48,   3.9,   12.33,   0.21,   14.84,   184759,   0.204275
    "ubend_0.01_1.4_1.76_12.39_0.46_45.15_487255.72_0.5",   0.01,   1.4,   1.76,   12.39,   0.46,   45.15,   487255,   0.088253
    "ubend_0.02_1.01_1.21_-9.43_0.32_43.6_185634.46_0.5",   0.02,   1.01,   1.21,   -9.43,   0.32,   43.6,   185634,   0.077561
    "ubend_0.02_1.01_2.88_8.11_-0.85_38.67_354835.53_0.5",   0.02,   1.01,   2.88,   8.11,   -0.85,   38.67,   354835,   0.102176
    "ubend_0.02_1.02_1.15_-10.55_-0.18_45.76_492034.63_0.5",   0.02,   1.02,   1.15,   -10.55,   -0.18,   45.76,   492034,   0.0430824
    "ubend_0.02_1.02_1.7_11.58_0.08_47.25_345064.47_0.5",   0.02,   1.02,   1.7,   11.58,   0.08,   47.25,   345064,   0.0621964
    "ubend_0.02_1.02_3.79_11.14_0.88_32.21_122213.32_0.5",   0.02,   1.02,   3.79,   11.14,   0.88,   32.21,   122213,   0.202672
    "ubend_0.02_1.03_2.45_-5.72_-0.23_23.39_460010.36_0.5",   0.02,   1.03,   2.45,   -5.72,   -0.23,   23.39,   460010,   0.103168
    "ubend_0.02_1.05_3.99_-14.95_0.45_28.87_113461.84_0.5",   0.02,   1.05,   3.99,   -14.95,   0.45,   28.87,   113461,   0.207433
