    dirname, B4TOD4, B5TOB4, R45TOB4, OMEGA5, GAMMAU, ALPHA4, RE, pt_loss
    "ubend_0.03_1.21_2.04_-13.83_0.55_15.97_272980.89_0.5",   0.03,   1.21,   2.04,   -13.83,   0.55,   15.97,   272980,   0.161147
    "ubend_0.03_1.21_3.64_-5.36_-0.96_41.76_447446.82_0.5",   0.03,   1.21,   3.64,   -5.36,   -0.96,   41.76,   447446,   0.149246
    "ubend_0.03_1.22_1.63_-7.39_-0.46_30.9_396346.3_0.5",   0.03,   1.22,   1.63,   -7.39,   -0.46,   30.9,   396346,   0.0550858
    "ubend_0.03_1.23_4.11_3.67_0.54_49.72_266701.01_0.5",   0.03,   1.23,   4.11,   3.67,   0.54,   49.72,   266701,   0.16257
    "ubend_0.03_1.24_3.23_12.05_-0.42_21.05_194959.97_0.5",   0.03,   1.24,   3.23,   12.05,   -0.42,   21.05,   194959,   0.159111
    "ubend_0.03_1.25_3.75_-13.68_0.09_40.99_483619.67_0.5",   0.03,   1.25,   3.75,   -13.68,   0.09,   40.99,   483619,   0.0908578
    "ubend_0.03_1.25_4.48_5.48_-0.6_53.41_117281.84_0.5",   0.03,   1.25,   4.48,   5.48,   -0.6,   53.41,   117281,   0.144845
    "ubend_0.03_1.26_3.52_4.31_0.93_49.38_129353.22_0.5",   0.03,   1.26,   3.52,   4.31,   0.93,   49.38,   129353,   0.242679
    "ubend_0.03_1.27_0.92_10.89_0.39_46.02_491368.26_0.5",   0.03,   1.27,   0.92,   10.89,   0.39,   46.02,   491368,   0.0818503
    "ubend_0.03_1.27_4.18_-2.54_-0.7_30.99_420256.81_0.5",   0.03,   1.27,   4.18,   -2.54,   -0.7,   30.99,   420256,   0.143872
    "ubend_0.03_1.28_1.48_7.93_0.92_34.99_140325.33_0.5",   0.03,   1.28,   1.48,   7.93,   0.92,   34.99,   140325,   0.15136
    "ubend_0.03_1.28_3.42_14.85_0.25_17.8_161178.64_0.5",   0.03,   1.28,   3.42,   14.85,   0.25,   17.8,   161178,   0.193505
    "ubend_0.03_1.29_0.91_-7.99_0.99_23.6_156730.25_0.5",   0.03,   1.29,   0.91,   -7.99,   0.99,   23.6,   156730,   0.126857
    "ubend_0.03_1.29_1.72_2.75_0.51_48.89_431201.53_0.5",   0.03,   1.29,   1.72,   2.75,   0.51,   48.89,   431201,   0.106325
    "ubend_0.03_1.32_4.45_4.96_0.52_54.52_304895.25_0.5",   0.03,   1.32,   4.45,   4.96,   0.52,   54.52,   304895,   0.166864
    "ubend_0.03_1.33_2.66_-5.47_-0.9_18.72_269146.31_0.5",   0.03,   1.33,   2.66,   -5.47,   -0.9,   18.72,   269146,   0.151132
    "ubend_0.03_1.34_2.53_4.46_-0.22_58.85_116591.2_0.5",   0.03,   1.34,   2.53,   4.46,   -0.22,   58.85,   116591,   0.0565588
    "ubend_0.03_1.34_2.68_0.3_0.27_42.59_297954.11_0.5",   0.03,   1.34,   2.68,   0.3,   0.27,   42.59,   297954,   0.0918611
    "ubend_0.03_1.35_4.15_-3.12_-0.86_27.17_212937.31_0.5",   0.03,   1.35,   4.15,   -3.12,   -0.86,   27.17,   212937,   0.177591
    "ubend_0.03_1.36_3.83_0.82_-0.78_49.86_160613.31_0.5",   0.03,   1.36,   3.83,   0.82,   -0.78,   49.86,   160613,   0.152655
    "ubend_0.03_1.37_1.87_-4.81_-0.72_34.02_297323.58_0.5",   0.03,   1.37,   1.87,   -4.81,   -0.72,   34.02,   297323,   0.0685961
    "ubend_0.03_1.37_3.59_10.19_-0.35_48.91_300730.24_0.5",   0.03,   1.37,   3.59,   10.19,   -0.35,   48.91,   300730,   0.0816605
    "ubend_0.03_1.38_2.95_-12.75_0.12_22.25_163513.61_0.5",   0.03,   1.38,   2.95,   -12.75,   0.12,   22.25,   163513,   0.144476
    "ubend_0.03_1.38_3.54_-14.65_-0.17_38.62_205508.39_0.5",   0.03,   1.38,   3.54,   -14.65,   -0.17,   38.62,   205508,   0.0911273
    "ubend_0.03_1.39_4.01_13.7_0.93_40.35_263328.0_0.5",   0.03,   1.39,   4.01,   13.7,   0.93,   40.35,   263328,   0.230201
    "ubend_0.03_1.3_1.26_11.26_0.76_20.24_494633.2_0.5",   0.03,   1.3,   1.26,   11.26,   0.76,   20.24,   494633,   0.112464
    "ubend_0.03_1.3_4.79_4.09_-0.85_15.58_141960.41_0.5",   0.03,   1.3,   4.79,   4.09,   -0.85,   15.58,   141960,   0.268578
    "ubend_0.03_1.41_1.69_8.8_-0.46_26.66_418977.57_0.5",   0.03,   1.41,   1.69,   8.8,   -0.46,   26.66,   418977,   0.0637824
    "ubend_0.03_1.41_4.41_5.76_-0.07_10.83_172283.61_0.5",   0.03,   1.41,   4.41,   5.76,   -0.07,   10.83,   172283,   0.35146
    "ubend_0.03_1.43_1.04_-6.13_0.91_11.55_364359.89_0.5",   0.03,   1.43,   1.04,   -6.13,   0.91,   11.55,   364359,   0.130446
    "ubend_0.03_1.43_1.57_0.31_0.59_27.42_172962.45_0.5",   0.03,   1.43,   1.57,   0.31,   0.59,   27.42,   172962,   0.118895
    "ubend_0.03_1.43_2.48_11.27_0.85_26.4_420624.25_0.5",   0.03,   1.43,   2.48,   11.27,   0.85,   26.4,   420624,   0.160232
    "ubend_0.03_1.43_4.22_-0.55_-0.97_13.07_422678.77_0.5",   0.03,   1.43,   4.22,   -0.55,   -0.97,   13.07,   422678,   0.246458
    "ubend_0.03_1.44_1.77_-1.17_0.51_44.44_166376.99_0.5",   0.03,   1.44,   1.77,   -1.17,   0.51,   44.44,   166376,   0.115652
    "ubend_0.03_1.45_3.56_11.31_0.31_55.63_497665.3_0.5",   0.03,   1.45,   3.56,   11.31,   0.31,   55.63,   497665,   0.10386
    "ubend_0.03_1.46_2.06_8.79_-0.52_29.73_164110.55_0.5",   0.03,   1.46,   2.06,   8.79,   -0.52,   29.73,   164110,   0.0841808
    "ubend_0.03_1.46_3.47_-5.08_-0.59_42.73_428310.96_0.5",   0.03,   1.46,   3.47,   -5.08,   -0.59,   42.73,   428310,   0.104808
    "ubend_0.03_1.47_3.03_-10.83_0.9_41.66_402034.97_0.5",   0.03,   1.47,   3.03,   -10.83,   0.9,   41.66,   402034,   0.215111
    "ubend_0.03_1.48_4.03_13.58_0.89_39.99_159552.59_0.5",   0.03,   1.48,   4.03,   13.58,   0.89,   39.99,   159552,   0.228349
    "ubend_0.03_1.48_4.83_9.11_0.36_44.81_386830.37_0.5",   0.03,   1.48,   4.83,   9.11,   0.36,   44.81,   386830,   0.133185
    "ubend_0.03_1.48_4.95_0.41_0.52_25.86_238440.07_0.5",   0.03,   1.48,   4.95,   0.41,   0.52,   25.86,   238440,   0.189683
    "ubend_0.03_1.49_4.73_-6.3_0.28_51.24_499570.16_0.5",   0.03,   1.49,   4.73,   -6.3,   0.28,   51.24,   499570,   0.112276
    "ubend_0.03_1.4_1.7_9.67_0.18_15.54_192258.15_0.5",   0.03,   1.4,   1.7,   9.67,   0.18,   15.54,   192258,   0.146569
    "ubend_0.03_1.4_2.82_-13.51_-0.14_57.57_312394.05_0.5",   0.03,   1.4,   2.82,   -13.51,   -0.14,   57.57,   312394,   0.0512195
    "ubend_0.03_1.4_3.01_11.63_0.46_39.85_421874.04_0.5",   0.03,   1.4,   3.01,   11.63,   0.46,   39.85,   421874,   0.123492
    "ubend_0.03_1.5_1.27_3.56_0.19_35.8_425233.51_0.5",   0.03,   1.5,   1.27,   3.56,   0.19,   35.8,   425233,   0.0607789
    "ubend_0.03_1.5_2.14_11.82_0.33_22.62_202634.57_0.5",   0.03,   1.5,   2.14,   11.82,   0.33,   22.62,   202634,   0.12521
    "ubend_0.04_1.02_4.19_-12.53_-0.43_24.09_427941.41_0.5",   0.04,   1.02,   4.19,   -12.53,   -0.43,   24.09,   427941,   0.157801
    "ubend_0.04_1.02_4.92_3.21_0.91_48.17_475803.38_0.5",   0.04,   1.02,   4.92,   3.21,   0.91,   48.17,   475803,   0.252113
    "ubend_0.04_1.03_4.35_3.92_0.6_16.54_140884.3_0.5",   0.04,   1.03,   4.35,   3.92,   0.6,   16.54,   140884,   0.265721
    "ubend_0.04_1.03_4.65_-9.26_0.82_31.63_246492.95_0.5",   0.04,   1.03,   4.65,   -9.26,   0.82,   31.63,   246492,   0.211165
    "ubend_0.04_1.04_1.11_10.77_-0.26_33.33_324951.55_0.5",   0.04,   1.04,   1.11,   10.77,   -0.26,   33.33,   324951,   0.046729
    "ubend_0.04_1.05_2.74_9.41_0.17_41.05_263847.57_0.5",   0.04,   1.05,   2.74,   9.41,   0.17,   41.05,   263847,   0.0925877
    "ubend_0.04_1.06_4.61_-1.41_-0.13_50.58_412809.03_0.5",   0.04,   1.06,   4.61,   -1.41,   -0.13,   50.58,   412809,   0.0892663
    "ubend_0.04_1.07_4.52_-6.26_0.87_16.7_336059.74_0.5",   0.04,   1.07,   4.52,   -6.26,   0.87,   16.7,   336059,   0.239159
    "ubend_0.04_1.08_1.34_4.7_0.04_30.59_251494.38_0.5",   0.04,   1.08,   1.34,   4.7,   0.04,   30.59,   251494,   0.0655756
    "ubend_0.04_1.08_2.22_0.08_-0.4_48.53_398931.47_0.5",   0.04,   1.08,   2.22,   0.08,   -0.4,   48.53,   398931,   0.0534388
    "ubend_0.04_1.08_4.94_7.25_0.41_38.53_245742.77_0.5",   0.04,   1.08,   4.94,   7.25,   0.41,   38.53,   245742,   0.161192
    "ubend_0.04_1.09_2.76_5.8_-0.23_19.17_103134.34_0.5",   0.04,   1.09,   2.76,   5.8,   -0.23,   19.17,   103134,   0.171688
    "ubend_0.04_1.09_4.29_5.34_0.78_53.17_413395.58_0.5",   0.04,   1.09,   4.29,   5.34,   0.78,   53.17,   413395,   0.227095
    "ubend_0.04_1.11_4.0_-9.68_-0.34_12.86_109760.37_0.5",   0.04,   1.11,   4,   -9.68,   -0.34,   12.86,   109760,   0.311938
    "ubend_0.04_1.12_1.35_-5.94_0.4_31.21_128421.72_0.5",   0.04,   1.12,   1.35,   -5.94,   0.4,   31.21,   128421,   0.0980403
    "ubend_0.04_1.12_3.69_-14.0_-0.26_57.5_451126.23_0.5",   0.04,   1.12,   3.69,   -14,   -0.26,   57.5,   451126,   0.0714685
    "ubend_0.04_1.12_4.91_0.68_0.42_42.08_271131.25_0.5",   0.04,   1.12,   4.91,   0.68,   0.42,   42.08,   271131,   0.156347
    "ubend_0.04_1.13_3.47_0.99_0.52_33.66_442508.07_0.5",   0.04,   1.13,   3.47,   0.99,   0.52,   33.66,   442508,   0.143907
    "ubend_0.04_1.14_1.49_4.76_-0.92_52.83_179341.33_0.5",   0.04,   1.14,   1.49,   4.76,   -0.92,   52.83,   179341,   0.0582084
    "ubend_0.04_1.14_1.66_11.32_0.55_39.71_269114.01_0.5",   0.04,   1.14,   1.66,   11.32,   0.55,   39.71,   269114,   0.112112
    "ubend_0.04_1.14_3.01_-13.79_-0.42_36.8_150378.71_0.5",   0.04,   1.14,   3.01,   -13.79,   -0.42,   36.8,   150378,   0.101151
    "ubend_0.04_1.14_3.21_-12.11_0.64_51.65_109259.01_0.5",   0.04,   1.14,   3.21,   -12.11,   0.64,   51.65,   109259,   0.188126
    "ubend_0.04_1.16_3.45_12.3_0.49_22.78_105897.84_0.5",   0.04,   1.16,   3.45,   12.3,   0.49,   22.78,   105897,   0.198644
    "ubend_0.04_1.17_3.26_-13.24_-0.36_36.59_132335.41_0.5",   0.04,   1.17,   3.26,   -13.24,   -0.36,   36.59,   132335,   0.108385
    "ubend_0.04_1.18_1.59_1.37_0.06_24.19_354127.46_0.5",   0.04,   1.18,   1.59,   1.37,   0.06,   24.19,   354127,   0.0818281
    "ubend_0.04_1.19_2.83_-9.51_-0.64_36.34_233310.73_0.5",   0.04,   1.19,   2.83,   -9.51,   -0.64,   36.34,   233310,   0.102159
    "ubend_0.04_1.19_2.97_-7.86_-0.8_54.06_416352.67_0.5",   0.04,   1.19,   2.97,   -7.86,   -0.8,   54.06,   416352,   0.112714
    "ubend_0.04_1.19_4.44_-14.29_0.88_50.5_320027.31_0.5",   0.04,   1.19,   4.44,   -14.29,   0.88,   50.5,   320027,   0.257802
    "ubend_0.04_1.19_4.73_-11.22_-0.2_31.42_173640.01_0.5",   0.04,   1.19,   4.73,   -11.22,   -0.2,   31.42,   173640,   0.149695
    "ubend_0.04_1.1_4.24_8.62_0.42_46.62_230449.62_0.5",   0.04,   1.1,   4.24,   8.62,   0.42,   46.62,   230449,   0.149325
    "ubend_0.04_1.21_4.25_1.58_-0.46_57.93_213360.35_0.5",   0.04,   1.21,   4.25,   1.58,   -0.46,   57.93,   213360,   0.113394
    "ubend_0.04_1.21_4.4_7.71_-0.91_32.62_358921.92_0.5",   0.04,   1.21,   4.4,   7.71,   -0.91,   32.62,   358921,   0.182001
    "ubend_0.04_1.22_3.92_12.58_0.3_35.28_209637.14_0.5",   0.04,   1.22,   3.92,   12.58,   0.3,   35.28,   209637,   0.13561
    "ubend_0.04_1.22_4.27_-10.6_-0.17_34.35_223745.21_0.5",   0.04,   1.22,   4.27,   -10.6,   -0.17,   34.35,   223745,   0.120257
    "ubend_0.04_1.23_3.46_3.41_0.11_58.53_227794.31_0.5",   0.04,   1.23,   3.46,   3.41,   0.11,   58.53,   227794,   0.0787281
    "ubend_0.04_1.23_4.97_-1.5_-0.08_13.38_221333.03_0.5",   0.04,   1.23,   4.97,   -1.5,   -0.08,   13.38,   221333,   0.31345
    "ubend_0.04_1.24_3.6_-1.31_0.58_32.44_278140.97_0.5",   0.04,   1.24,   3.6,   -1.31,   0.58,   32.44,   278140,   0.162175
    "ubend_0.04_1.25_0.99_8.62_0.23_49.75_101185.16_0.5",   0.04,   1.25,   0.99,   8.62,   0.23,   49.75,   101185,   0.0771862
    "ubend_0.04_1.25_1.84_-2.27_-0.54_54.12_342185.91_0.5",   0.04,   1.25,   1.84,   -2.27,   -0.54,   54.12,   342185,   0.0469909
    "ubend_0.04_1.25_2.78_-13.57_-0.06_12.07_355651.12_0.5",   0.04,   1.25,   2.78,   -13.57,   -0.06,   12.07,   355651,   0.191773
    "ubend_0.04_1.26_1.92_-13.27_0.59_38.26_270515.29_0.5",   0.04,   1.26,   1.92,   -13.27,   0.59,   38.26,   270515,   0.129324
    "ubend_0.04_1.26_1.98_12.88_-0.61_39.71_106201.18_0.5",   0.04,   1.26,   1.98,   12.88,   -0.61,   39.71,   106201,   0.0765943
    "ubend_0.04_1.26_2.58_12.96_-0.6_33.75_386002.91_0.5",   0.04,   1.26,   2.58,   12.96,   -0.6,   33.75,   386002,   0.0902942
    "ubend_0.04_1.26_2.72_13.79_0.18_30.78_267263.37_0.5",   0.04,   1.26,   2.72,   13.79,   0.18,   30.78,   267263,   0.105623
    "ubend_0.04_1.27_4.63_3.99_0.96_58.76_236908.78_0.5",   0.04,   1.27,   4.63,   3.99,   0.96,   58.76,   236908,   0.303391
    "ubend_0.04_1.28_2.38_-11.98_-0.84_21.52_215688.53_0.5",   0.04,   1.28,   2.38,   -11.98,   -0.84,   21.52,   215688,   0.134271
    "ubend_0.04_1.28_3.38_11.87_0.29_49.1_153411.1_0.5",   0.04,   1.28,   3.38,   11.87,   0.29,   49.1,   153411,   0.116144
    "ubend_0.04_1.2_2.18_6.63_-0.48_23.02_176687.78_0.5",   0.04,   1.2,   2.18,   6.63,   -0.48,   23.02,   176687,   0.109573
    "ubend_0.04_1.2_4.64_10.9_0.29_15.28_182693.6_0.5",   0.04,   1.2,   4.64,   10.9,   0.29,   15.28,   182693,   0.290185
    "ubend_0.04_1.31_2.01_1.7_0.33_36.51_229274.14_0.5",   0.04,   1.31,   2.01,   1.7,   0.33,   36.51,   229274,   0.0964762
    "ubend_0.04_1.31_2.93_3.64_0.51_49.16_143616.39_0.5",   0.04,   1.31,   2.93,   3.64,   0.51,   49.16,   143616,   0.150499
    "ubend_0.04_1.31_4.17_10.14_0.37_33.48_253734.53_0.5",   0.04,   1.31,   4.17,   10.14,   0.37,   33.48,   253734,   0.146779
    "ubend_0.04_1.33_2.54_13.75_0.87_29.62_401765.08_0.5",   0.04,   1.33,   2.54,   13.75,   0.87,   29.62,   401765,   0.173547
    "ubend_0.04_1.33_4.06_13.16_0.59_13.8_248769.56_0.5",   0.04,   1.33,   4.06,   13.16,   0.59,   13.8,   248769,   0.292793
    "ubend_0.04_1.34_2.94_-2.18_0.8_12.41_487756.36_0.5",   0.04,   1.34,   2.94,   -2.18,   0.8,   12.41,   487756,   0.233247
    "ubend_0.04_1.34_3.97_-13.73_-0.35_12.98_193287.28_0.5",   0.04,   1.34,   3.97,   -13.73,   -0.35,   12.98,   193287,   0.377714
    "ubend_0.04_1.35_2.96_13.53_0.06_33.06_282653.31_0.5",   0.04,   1.35,   2.96,   13.53,   0.06,   33.06,   282653,   0.0948432
    "ubend_0.04_1.35_4.54_3.63_0.87_38.89_464559.15_0.5",   0.04,   1.35,   4.54,   3.63,   0.87,   38.89,   464559,   0.224945
    "ubend_0.04_1.36_4.31_-7.33_-0.93_59.57_323826.85_0.5",   0.04,   1.36,   4.31,   -7.33,   -0.93,   59.57,   323826,   0.222851
    "ubend_0.04_1.37_2.41_-12.88_0.64_55.74_265384.17_0.5",   0.04,   1.37,   2.41,   -12.88,   0.64,   55.74,   265384,   0.173953
    "ubend_0.04_1.39_2.23_-6.93_-0.87_46.87_272411.08_0.5",   0.04,   1.39,   2.23,   -6.93,   -0.87,   46.87,   272411,   0.0960486
    "ubend_0.04_1.3_1.36_-2.74_0.18_32.9_296152.84_0.5",   0.04,   1.3,   1.36,   -2.74,   0.18,   32.9,   296152,   0.0689227
    "ubend_0.04_1.3_2.83_3.71_0.75_54.24_401106.33_0.5",   0.04,   1.3,   2.83,   3.71,   0.75,   54.24,   401106,   0.201571
    "ubend_0.04_1.41_1.05_8.03_0.72_35.68_257704.49_0.5",   0.04,   1.41,   1.05,   8.03,   0.72,   35.68,   257704,   0.12139
    "ubend_0.04_1.42_1.95_14.24_0.67_29.48_384979.74_0.5",   0.04,   1.42,   1.95,   14.24,   0.67,   29.48,   384979,   0.138477
    "ubend_0.04_1.43_1.29_11.15_0.82_39.41_189793.14_0.5",   0.04,   1.43,   1.29,   11.15,   0.82,   39.41,   189793,   0.142219
    "ubend_0.04_1.43_3.0_-10.45_-0.92_35.99_389762.61_0.5",   0.04,   1.43,   3,   -10.45,   -0.92,   35.99,   389762,   0.138953
    "ubend_0.04_1.44_1.85_12.49_0.41_16.4_403150.17_0.5",   0.04,   1.44,   1.85,   12.49,   0.41,   16.4,   403150,   0.154015
    "ubend_0.04_1.44_3.67_0.47_0.85_55.41_381591.51_0.5",   0.04,   1.44,   3.67,   0.47,   0.85,   55.41,   381591,   0.261136
    "ubend_0.04_1.46_4.23_8.86_-0.68_29.87_353317.36_0.5",   0.04,   1.46,   4.23,   8.86,   -0.68,   29.87,   353317,   0.167046
    "ubend_0.04_1.47_1.59_3.84_0.69_11.42_283960.24_0.5",   0.04,   1.47,   1.59,   3.84,   0.69,   11.42,   283960,   0.174828
    "ubend_0.04_1.47_2.7_-1.63_0.18_46.14_496877.73_0.5",   0.04,   1.47,   2.7,   -1.63,   0.18,   46.14,   496877,   0.0768681
    "ubend_0.04_1.49_0.94_-9.84_0.09_14.91_225416.32_0.5",   0.04,   1.49,   0.94,   -9.84,   0.09,   14.91,   225416,   0.106184
    "ubend_0.04_1.49_1.28_1.19_0.34_25.31_498336.99_0.5",   0.04,   1.49,   1.28,   1.19,   0.34,   25.31,   498336,   0.0917441
    "ubend_0.04_1.49_1.41_5.78_0.06_21.36_358355.38_0.5",   0.04,   1.49,   1.41,   5.78,   0.06,   21.36,   358355,   0.0918703
    "ubend_0.04_1.4_2.78_-4.35_-0.82_27.09_495531.51_0.5",   0.04,   1.4,   2.78,   -4.35,   -0.82,   27.09,   495531,   0.12425
    "ubend_0.05_1.01_1.63_13.23_0.27_41.22_440129.31_0.5",   0.05,   1.01,   1.63,   13.23,   0.27,   41.22,   440129,   0.0788051
    "ubend_0.05_1.01_3.04_12.12_-0.86_37.97_471205.97_0.5",   0.05,   1.01,   3.04,   12.12,   -0.86,   37.97,   471205,   0.126701
    "ubend_0.05_1.01_3.13_-10.32_0.86_52.17_195598.54_0.5",   0.05,   1.01,   3.13,   -10.32,   0.86,   52.17,   195598,   0.23409
    "ubend_0.05_1.01_4.47_-5.78_-0.64_41.83_444526.88_0.5",   0.05,   1.01,   4.47,   -5.78,   -0.64,   41.83,   444526,   0.151927
    "ubend_0.05_1.02_1.08_13.67_-0.89_36.98_369726.44_0.5",   0.05,   1.02,   1.08,   13.67,   -0.89,   36.98,   369726,   0.041737
    "ubend_0.05_1.02_2.16_2.14_-0.49_37.22_473027.97_0.5",   0.05,   1.02,   2.16,   2.14,   -0.49,   37.22,   473027,   0.0647754
    "ubend_0.05_1.03_3.23_-3.82_-0.57_19.3_243454.74_0.5",   0.05,   1.03,   3.23,   -3.82,   -0.57,   19.3,   243454,   0.187969
    "ubend_0.05_1.03_4.96_6.83_0.08_11.97_321344.94_0.5",   0.05,   1.03,   4.96,   6.83,   0.08,   11.97,   321344,   0.352733
    "ubend_0.05_1.04_2.2_0.57_-0.68_56.58_259122.83_0.5",   0.05,   1.04,   2.2,   0.57,   -0.68,   56.58,   259122,   0.0707311
    "ubend_0.05_1.04_3.37_12.76_0.39_50.41_352095.26_0.5",   0.05,   1.04,   3.37,   12.76,   0.39,   50.41,   352095,   0.130552
    "ubend_0.05_1.05_1.85_-1.87_-0.11_50.99_415915.81_0.5",   0.05,   1.05,   1.85,   -1.87,   -0.11,   50.99,   415915,   0.048034
    "ubend_0.05_1.05_2.22_-8.96_-0.5_45.32_295923.65_0.5",   0.05,   1.05,   2.22,   -8.96,   -0.5,   45.32,   295923,   0.0638651
    "ubend_0.05_1.05_2.28_2.85_0.57_26.94_242539.27_0.5",   0.05,   1.05,   2.28,   2.85,   0.57,   26.94,   242539,   0.147042
    "ubend_0.05_1.05_4.47_-12.0_-0.65_56.59_171574.45_0.5",   0.05,   1.05,   4.47,   -12,   -0.65,   56.59,   171574,   0.172546
    "ubend_0.05_1.07_2.79_-10.98_-0.67_30.59_235895.91_0.5",   0.05,   1.07,   2.79,   -10.98,   -0.67,   30.59,   235895,   0.11788
    "ubend_0.05_1.07_4.45_-14.77_0.4_31.95_224284.47_0.5",   0.05,   1.07,   4.45,   -14.77,   0.4,   31.95,   224284,   0.169444
    "ubend_0.05_1.08_3.38_1.88_0.59_14.19_289135.53_0.5",   0.05,   1.08,   3.38,   1.88,   0.59,   14.19,   289135,   0.25427
    "ubend_0.05_1.08_4.19_-10.68_-0.02_50.71_456062.79_0.5",   0.05,   1.08,   4.19,   -10.68,   -0.02,   50.71,   456062,   0.0833504
    "ubend_0.05_1.09_1.18_-14.44_-0.82_42.23_364780.61_0.5",   0.05,   1.09,   1.18,   -14.44,   -0.82,   42.23,   364780,   0.0401592
    "ubend_0.05_1.09_2.57_6.65_0.17_41.46_221733.65_0.5",   0.05,   1.09,   2.57,   6.65,   0.17,   41.46,   221733,   0.0907178
    "ubend_0.05_1.12_2.35_-14.38_0.04_54.41_263169.55_0.5",   0.05,   1.12,   2.35,   -14.38,   0.04,   54.41,   263169,   0.0635882
    "ubend_0.05_1.12_2.54_-9.06_-0.73_48.04_211714.32_0.5",   0.05,   1.12,   2.54,   -9.06,   -0.73,   48.04,   211714,   0.0970086
    "ubend_0.05_1.12_4.12_8.18_-0.99_16.58_482244.67_0.5",   0.05,   1.12,   4.12,   8.18,   -0.99,   16.58,   482244,   0.220354
    "ubend_0.05_1.13_2.31_13.88_0.47_53.85_350953.49_0.5",   0.05,   1.13,   2.31,   13.88,   0.47,   53.85,   350953,   0.125106
    "ubend_0.05_1.14_0.98_12.45_-0.52_50.88_391465.17_0.5",   0.05,   1.14,   0.98,   12.45,   -0.52,   50.88,   391465,   0.0311258
    "ubend_0.05_1.15_1.72_-10.49_-0.6_13.14_168066.61_0.5",   0.05,   1.15,   1.72,   -10.49,   -0.6,   13.14,   168066,   0.190654
    "ubend_0.05_1.15_3.4_-3.71_0.68_14.77_199198.66_0.5",   0.05,   1.15,   3.4,   -3.71,   0.68,   14.77,   199198,   0.262575
    "ubend_0.05_1.16_2.3_-13.34_-0.94_26.35_187298.99_0.5",   0.05,   1.16,   2.3,   -13.34,   -0.94,   26.35,   187298,   0.125877
    "ubend_0.05_1.16_3.99_-1.91_0.97_30.33_458242.65_0.5",   0.05,   1.16,   3.99,   -1.91,   0.97,   30.33,   458242,   0.213189
    "ubend_0.05_1.16_4.9_4.13_-0.81_51.48_461362.14_0.5",   0.05,   1.16,   4.9,   4.13,   -0.81,   51.48,   461362,   0.213132
    "ubend_0.05_1.17_4.47_11.09_-0.27_42.35_491705.2_0.5",   0.05,   1.17,   4.47,   11.09,   -0.27,   42.35,   491705,   0.104011
    "ubend_0.05_1.18_1.61_-7.06_0.76_13.52_111666.47_0.5",   0.05,   1.18,   1.61,   -7.06,   0.76,   13.52,   111666,   0.189519
    "ubend_0.05_1.19_1.04_13.05_0.56_16.53_482030.71_0.5",   0.05,   1.19,   1.04,   13.05,   0.56,   16.53,   482030,   0.117015
    "ubend_0.05_1.1_3.63_3.5_-0.31_53.74_429031.76_0.5",   0.05,   1.1,   3.63,   3.5,   -0.31,   53.74,   429031,   0.0784967
    "ubend_0.05_1.1_3.72_14.08_0.04_52.85_448067.0_0.5",   0.05,   1.1,   3.72,   14.08,   0.04,   52.85,   448067,   0.0787497
    "ubend_0.05_1.1_3.91_4.18_-0.27_18.65_187532.14_0.5",   0.05,   1.1,   3.91,   4.18,   -0.27,   18.65,   187532,   0.227665
    "ubend_0.05_1.21_2.67_-6.52_-0.39_33.16_395746.57_0.5",   0.05,   1.21,   2.67,   -6.52,   -0.39,   33.16,   395746,   0.0850731
    "ubend_0.05_1.21_3.27_-8.73_-0.94_52.31_236616.58_0.5",   0.05,   1.21,   3.27,   -8.73,   -0.94,   52.31,   236616,   0.173474
    "ubend_0.05_1.23_2.19_12.61_-0.79_12.47_361757.55_0.5",   0.05,   1.23,   2.19,   12.61,   -0.79,   12.47,   361757,   0.201549
    "ubend_0.05_1.23_3.62_11.39_-0.69_48.61_340354.06_0.5",   0.05,   1.23,   3.62,   11.39,   -0.69,   48.61,   340354,   0.142481
    "ubend_0.05_1.25_3.87_5.64_-0.86_20.31_402790.32_0.5",   0.05,   1.25,   3.87,   5.64,   -0.86,   20.31,   402790,   0.202085
    "ubend_0.05_1.26_1.59_-11.69_-0.58_21.77_281388.2_0.5",   0.05,   1.26,   1.59,   -11.69,   -0.58,   21.77,   281388,   0.0841728
    "ubend_0.05_1.26_4.17_2.92_0.24_32.05_286889.35_0.5",   0.05,   1.26,   4.17,   2.92,   0.24,   32.05,   286889,   0.137716
    "ubend_0.05_1.27_1.33_14.75_-0.56_52.69_123683.47_0.5",   0.05,   1.27,   1.33,   14.75,   -0.56,   52.69,   123683,   0.0455955
    "ubend_0.05_1.27_1.78_5.12_-0.28_21.13_449539.12_0.5",   0.05,   1.27,   1.78,   5.12,   -0.28,   21.13,   449539,   0.0871467
    "ubend_0.05_1.2_1.79_14.94_-0.66_45.46_260586.63_0.5",   0.05,   1.2,   1.79,   14.94,   -0.66,   45.46,   260586,   0.0613787
    "ubend_0.05_1.2_4.44_-2.96_-0.73_21.27_197583.0_0.5",   0.05,   1.2,   4.44,   -2.96,   -0.73,   21.27,   197583,   0.225561
    "ubend_0.05_1.31_2.75_12.5_-0.25_18.34_259354.65_0.5",   0.05,   1.31,   2.75,   12.5,   -0.25,   18.34,   259354,   0.169035
    "ubend_0.05_1.31_4.56_12.52_1.0_47.47_444912.9_0.5",   0.05,   1.31,   4.56,   12.52,   1,   47.47,   444912,   0.296862
