B4TOD4,B5TOB4,R45TOB4,OMEGA5,GAMMAU,ALPHA4,RE,PT_LOSS
0.02,1.25,0.9,5,0.5,60,100000,0.123957
0.02,1.25,0.9,5,0.5,60,500000,0.101912
0.02,1.25,0.9,5,0.0,10,100000,0.141899
0.02,1.25,0.9,5,0.0,10,500000,0.115058
0.02,1.25,0.9,5,0.0,30,100000,0.0752995
0.02,1.25,0.9,5,0.0,30,500000,0.06004
0.02,1.25,0.9,5,0.0,60,100000,0.0866246
0.02,1.25,0.9,5,0.0,60,500000,0.0704407
0.02,1.25,5.0,-5,-0.5,10,100000,0.412092
0.02,1.25,5.0,-5,-0.5,10,500000,0.356307
0.02,1.25,5.0,-5,-0.5,30,100000,0.183495
0.02,1.25,5.0,-5,-0.5,30,500000,0.145448
0.02,1.25,5.0,-5,-0.5,60,100000,0.130739
0.02,1.25,5.0,-5,-0.5,60,500000,0.107137
0.02,1.25,5.0,-5,0.5,10,100000,0.410963
0.02,1.25,5.0,-5,0.5,10,500000,0.358536
0.02,1.25,5.0,-5,0.5,30,100000,0.204518
0.02,1.25,5.0,-5,0.5,30,500000,0.168005
0.02,1.25,5.0,-5,0.5,60,100000,0.186365
0.02,1.25,5.0,-5,0.5,60,500000,0.167123
0.02,1.25,5.0,-5,0.0,10,100000,0.410227
0.02,1.25,5.0,-5,0.0,10,500000,0.35767
0.02,1.25,5.0,-5,0.0,30,100000,0.180191
0.02,1.25,5.0,-5,0.0,30,500000,0.140173
0.02,1.25,5.0,-5,0.0,60,100000,0.106884
0.02,1.25,5.0,-5,0.0,60,500000,0.0820838
0.02,1.25,5.0,5,-0.5,10,100000,0.41213
0.02,1.25,5.0,5,-0.5,10,500000,0.35629
0.02,1.25,5.0,5,-0.5,30,100000,0.183767
0.02,1.25,5.0,5,-0.5,30,500000,0.145749
0.02,1.25,5.0,5,-0.5,60,100000,0.131357
0.02,1.25,5.0,5,-0.5,60,500000,0.107776
0.02,1.25,5.0,5,0.5,10,100000,0.411058
0.02,1.25,5.0,5,0.5,10,500000,0.358656
0.02,1.25,5.0,5,0.5,30,100000,0.204424
0.02,1.25,5.0,5,0.5,30,500000,0.167861
0.02,1.25,5.0,5,0.5,60,100000,0.186024
0.02,1.25,5.0,5,0.5,60,500000,0.166711
0.02,1.25,5.0,5,0.0,10,100000,0.410414
0.02,1.25,5.0,5,0.0,10,500000,0.357689
0.02,1.25,5.0,5,0.0,30,100000,0.180236
0.02,1.25,5.0,5,0.0,30,500000,0.140238
0.02,1.25,5.0,5,0.0,60,100000,0.106958
0.02,1.25,5.0,5,0.0,60,500000,0.0821409
0.02,1.0,0.9,-5,-0.5,10,100000,0.134453
0.02,1.0,0.9,-5,-0.5,10,500000,0.107063
0.02,1.0,0.9,-5,-0.5,30,100000,0.0554315
0.02,1.0,0.9,-5,-0.5,30,500000,0.043276
0.02,1.0,0.9,-5,-0.5,60,100000,0.0490282
0.02,1.0,0.9,-5,-0.5,60,500000,0.0389064
0.02,1.0,0.9,-5,0.5,10,100000,0.146779
0.02,1.0,0.9,-5,0.5,10,500000,0.12039
0.02,1.0,0.9,-5,0.5,30,100000,0.105128
0.02,1.0,0.9,-5,0.5,30,500000,0.0918115
0.02,1.0,0.9,-5,0.5,60,100000,0.126225
0.02,1.0,0.9,-5,0.5,60,500000,0.113122
0.02,1.0,0.9,-5,0.0,10,100000,0.140378
0.02,1.0,0.9,-5,0.0,10,500000,0.113784
0.02,1.0,0.9,-5,0.0,30,100000,0.0740577
0.02,1.0,0.9,-5,0.0,30,500000,0.0612286
0.02,1.0,0.9,-5,0.0,60,100000,0.0793207
0.02,1.0,0.9,-5,0.0,60,500000,0.0684152
0.02,1.0,0.9,5,-0.5,10,100000,0.13452
0.02,1.0,0.9,5,-0.5,10,500000,0.107047
0.02,1.0,0.9,5,-0.5,30,100000,0.0555584
0.02,1.0,0.9,5,-0.5,30,500000,0.0432994
0.02,1.0,0.9,5,-0.5,60,100000,0.0494506
0.02,1.0,0.9,5,-0.5,60,500000,0.0390701
0.02,1.0,0.9,5,0.5,10,100000,0.146782
0.02,1.0,0.9,5,0.5,10,500000,0.120294
0.02,1.0,0.9,5,0.5,30,100000,0.105312
0.02,1.0,0.9,5,0.5,30,500000,0.0913715
0.02,1.0,0.9,5,0.5,60,100000,0.127381
0.02,1.0,0.9,5,0.5,60,500000,0.113175
0.02,1.0,0.9,5,0.0,10,100000,0.140412
0.02,1.0,0.9,5,0.0,10,500000,0.113728
